Crop Name,Product Name,Sale Price,Sale Unit,Harvest Qty Per Sale Unit,SKU,Is Active
Artichoke,Artichoke - lb,$11.00,lb,1,-lb,true
Arugula,Arugula - 1/3 lb,$7.00,1/3 lb,0.33,-1/3 lb,true
Arugula,Arugula - 2/3 lb ,$14.00,2/3 lb ,0.66,-2/3 lb,true
Asparagus,Asparagus - bu,$5.00,bu,0.33,-bu,true
Basil,Basil - bu,$3.50,bu,1,-bu,true
Bean Snap,Bean Snap - bu,$6.00,bu,1,-bu,true
Beets Bulk Golden,Beets Bulk Golden - lb,$3.50,lb,1,-lb,true
Beets Bulk Red,Beets Bulk Red - lb,$3.50,lb,1,-lb,true
Beets Golden,Beets Golden - bu,$5.00,bu,1,-bu,true
Beets Golden PP,Beets Golden PP - bu,$5.00,bu,1,-bu,true
Beets Red,Beets Red - bu,$5.00,bu,1,-bu,true
Beets Red PP,Beets Red PP - bu,$5.00,bu,1,-bu,true
Bok Choy,Bok Choy - ea,$3.00,ea,1,-ea,true
Bok Choy Small,Bok Choy Small - lb,$9.00,lb,1,-lb,true
Braising Mix,Braising Mix - 1 lb,$8.00,1 lb,1,-1 lb,true
Broccoli Raab,Broccoli Raab - bu,$4.50,bu,1,-bu,true
Broccolini,Broccolini - bu,$6.00,bu,1,-bu,true
Brussels Sprouts,Brussels Sprouts - ea,$7.00,ea,1,-ea,true
Cabbage,Cabbage - lb,$3.00,lb,1,-lb,true
Cabbage Chinese,Cabbage Chinese - lb,$4.00,lb,1,-lb,true
Cabbage Storage,Cabbage Storage - lb,$2.50,lb,1,-lb,true
Carrot,Carrot - bu,$6.00,bu,1,-bu,true
Carrot Bulk,Carrot Bulk - lb,$3.50,lb,1,-lb,true
Cauliflower,Cauliflower - lb,$4.00,lb,1,-lb,true
Cauliflower Sprouting,Cauliflower Sprouting - lb,$6.00,lb,1,-lb,true
Celery,Celery - bu,$4.50,bu,1,-bu,true
Chard,Chard - bu,$4.50,bu,1,-bu,true
Cilantro,Cilantro - bu,$3.50,bu,1,-bu,true
Collards,Collards - bu,$4.50,bu,1,-bu,true
Cucumber,Cucumber - lb,$3.50,lb,1,-lb,true
Cucumber Pickling,Cucumber Pickling - lb,$3.50,lb,1,-lb,true
Dandelion,Dandelion - bu,$4.50,bu,1,-bu,true
Dill,Dill - bu,$3.50,bu,1,-bu,true
Eggplant,Eggplant - lb,$5.00,lb,1,-lb,true
Eggplant Mini,Eggplant Mini - Pt,$6.00,Pt,0.75,-pt,true
Escarole,Escarole - ea,$5.00,ea,1,-ea,true
Fall Mix,Fall Mix - 1 1/4 lb,$25.00,1 1/4 lb,1.25,-1 1/4 lb,true
Fall Mix,Fall Mix - 1/3 lb,$7.00,1/3 lb,0.33,-1/3 lb,true
Fall Mix,Fall Mix - 2/3 lb ,$14.00,2/3 lb ,0.67,-2/3 lb,true
Fennel,Fennel - bu,$4.00,bu,2,-bu,true
Fennel,Fennel - ea,$4.00,ea,1,-ea,true
Garlic,Garlic - 1/2 lb,$8.00,1/2 lb,0.5,-1/2 lb,true
Garlic,Garlic - lb,$16.00,lb,1,-lb,true
Garlic Green,Garlic Green - bu,$3.50,bu,1,-bu,true
Garlic Scape,Garlic Scape - bu,$3.50,bu,1,-bu,true
Kale Curly,Kale Curly - bu,$4.50,bu,1,-bu,true
Kale Lacinato,Kale Lacinato - bu,$4.50,bu,1,-bu,true
Kale Russian,Kale Russian - bu,$4.50,bu,1,-bu,true
Kohlrabi,Kohlrabi - bu,$4.50,bu,1,-bu,true
Kohlrabi Storage,Kohlrabi Storage - ea,$3.00,ea,1,-ea,true
Komatsuna,Komatsuna - bu,$4.50,bu,1,-bu,true
Lettuce Head,Lettuce Head - ea,$4.00,ea,1,-ea,true
Lettuce Mini Gem,Lettuce Mini Gem - ea,$3.00,ea,1,-ea,true
Mustard,Mustard - bu,$4.50,bu,1,-bu,true
Okra,Okra - Pt,$6.00,Pt,0.75,-pt,true
Onion Bulk,Onion Bulk - lb,$5.00,lb,1,-lb,true
Onion Spring,Onion Spring - bu,$5.00,bu,1,-bu,true
Parsley,Parsley - bu,$3.50,bu,1,-bu,true
Pea Shelling,Pea Shelling - Pt,$6.00,Pt,0.75,-pt,true
Pea Shelling,Pea Shelling - Qt,$11.00,Qt,1.5,-qt,true
Pea Snap,Pea Snap - Pt,$6.00,Pt,0.75,-pt,true
Pea Snap,Pea Snap - Qt,$11.00,Qt,1.5,-qt,true
Pepper Carmen,Pepper Carmen - lb,$5.00,lb,1,-lb,true
Pepper Hot,Pepper Hot - ea,$1.00,ea,1,-ea,true
Pepper Lunchbox,Pepper Lunchbox - Pt,$4.00,Pt,0.5,-pt,true
Pepper Lunchbox,Pepper Lunchbox - Qt,$7.00,Qt,1,-qt,true
Pepper Shishito,Pepper Shishito - Pt,$6.00,Pt,0.6,-pt,true
Pepper Shishito,Pepper Shishito - Qt,$11.00,Qt,1.2,-qt,true
Potato Blue,Potato Blue - lb,$3.50,lb,1,-lb,true
Potato Fingerling,Potato Fingerling - lb,$3.50,lb,1,-lb,true
Potato White,Potato White - lb,$3.50,lb,1,-lb,true
Potato Yellow,Potato Yellow - lb,$3.50,lb,1,-lb,true
