Pack Date,Planning Year,Mix Product Name,Component Crop Name,Component Percent,Component Quantity,Component Unit,Variety Request,Safety Factor,Harvest Date,Notes,Component Source Type
2024-03-23,2024,Winter Mix,Lettuce Mini Gem,30,14.4,,,1.1,2024-03-21,,crop
2024-03-23,2024,Winter Mix,Greens Mix Misc,10,4.8,,Russian Kale,1.1,2024-03-21,,crop
2024-03-23,2024,Winter Mix,Lettuce Mix SN,30,14.4,,SN,1.1,2024-03-21,,crop
2024-03-23,2024,Winter Mix,Greens Mix Misc,30,14.4,,Frills,1.1,2024-03-21,,crop
2024-03-30,2024,Winter Mix,Lettuce Mix SN,70,29.4,,SN,1.1,2024-03-28,,crop
2024-03-30,2024,Winter Mix,Greens Mix Misc,15,6.3,,Frills,1.1,2024-03-28,,crop
2024-03-30,2024,Winter Mix,Greens Mix Misc,15,6.3,,Russian Kale,1.1,2024-03-28,,crop
2024-04-06,2024,Winter Mix,Lettuce Mini Gem,15,10.1,,cooler,1.1,2024-04-04,,crop
2024-04-06,2024,Winter Mix,Lettuce Mix SN,65,43.8,,,1.1,2024-04-04,,crop
2024-04-06,2024,Winter Mix,Greens Mix Misc,10,6.7,,frills,1.1,2024-04-04,,crop
2024-04-06,2024,Winter Mix,Greens Mix Misc,10,6.7,,russian,1.1,2024-04-04,,crop
2024-04-13,2024,Winter Mix,Lettuce Mix SN,10,4.5,,Gems,1.1,2024-04-11,,crop
2024-04-13,2024,Winter Mix,Lettuce Mix SN,60,27.2,,,1.1,2024-04-11,,crop
2024-04-13,2024,Winter Mix,Greens Mix Misc,10,4.5,,Frills,1.1,2024-04-11,,crop
2024-04-13,2024,Winter Mix,Greens Mix Misc,20,9.1,,Russian,1.1,2024-04-11,,crop
2024-04-20,2024,Winter Mix,Greens Mix Misc,6,4.4,,Frills,1.1,2024-04-18,,crop
2024-04-20,2024,Winter Mix,Greens Mix Misc,8,5.8,,Russian,1.1,2024-04-18,,crop
2024-04-20,2024,Winter Mix,Lettuce Mix SN,86,62.7,,,1.1,2024-04-18,,crop
2024-04-27,2024,Spring Mix,Lettuce Mix SN,90,24.4,,,1.1,2024-04-25,,crop
2024-04-27,2024,Spring Mix,Greens Mix Misc,5,1.4,,russian,1.1,2024-04-25,,crop
2024-04-27,2024,Spring Mix,Greens Mix Cheap Frills,5,1.4,,,1.1,2024-04-25,,crop
2024-05-04,2024,Spring Mix,Lettuce Mix SN,100,38.8,,,1.1,2024-05-02,,crop
2024-05-11,2024,Spring Mix,Lettuce Mix SN,85,53.5,,,1.1,2024-05-09,,crop
2024-05-11,2024,Spring Mix,Greens Mix Cheap Frills,5,3.1,,,1.1,2024-05-09,,crop
2024-05-11,2024,Spring Mix,Greens Mix Misc,5,3.1,,,1.1,2024-05-09,,crop
2024-05-11,2024,Spring Mix,Lettuce Mini Gem,5,3.1,,,1.1,2024-05-09,,crop
2024-05-18,2024,Spring Mix,Lettuce Mix SN,60,41.3,,,1.1,2024-05-16,,crop
2024-05-18,2024,Spring Mix,Lettuce Mini Gem,22,15.2,,,1.1,2024-05-16,,crop
2024-05-18,2024,Spring Mix,Greens Mix Cheap Frills,15,10.3,,,1.1,2024-05-16,,crop
2024-05-18,2024,Spring Mix,Greens Mix Misc,3,2.1,,russian,1.1,2024-05-16,,crop
2024-05-25,2024,Spring Mix,Lettuce Mini Gem,7,7,,,1.1,2024-05-23,,crop
2024-05-25,2024,Spring Mix,Greens Mix Cheap Frills,13,13,,,1.1,2024-05-23,,crop
2024-05-25,2024,Spring Mix,Greens Mix Misc,21,21,,russian,1.1,2024-05-23,,crop
2024-05-25,2024,Spring Mix,Lettuce Mix SN,59,59,,,1.1,2024-05-23,,crop
