Sale Date,Harvest Date,Planning Year,Channel Name,Product Name,Actual Price,Brought Quantity,Returned Quantity,Actual Quantity,Actual Revenue,Notes,Entry Kind
2025-02-08,2025-02-06,2025,BFM,Bok Choy - lb,$7.00,0,,0,$0.00,Variety: 2/3 bags,actual
2025-02-08,2025-02-06,2025,BFM,Cabbage Cone Storage - lb,$2.00,0,,0,$0.00,,actual
2025-02-08,2025-02-06,2025,BFM,Cabbage Green Storage - lb,$2.00,0,,0,$0.00,,actual
2025-02-08,2025-02-06,2025,BFM,Cabbage Red - lb,$2.00,0,,0,$0.00,,actual
2025-02-08,2025-02-06,2025,BFM,Cabbage Savoy - lb,$2.00,0,,0,$0.00,,actual
2025-02-08,2025-02-06,2025,BFM,Carrot Bulk - lb,$3.50,0,,0,$0.00,,actual
2025-02-08,2025-02-06,2025,BFM,Kale Curly - bu,$7.78,0,,0,$0.00,Variety: 2/3 bags,actual
2025-02-08,2025-02-06,2025,BFM,Potato White - lb,$3.50,0,,0,$0.00,,actual
2025-02-08,2025-02-06,2025,BFM,Potato Yellow - lb,$3.50,0,,0,$0.00,,actual
2025-02-08,2025-02-06,2025,BFM,Radish Daikon Bulk - lb,$3.50,0,,0,$0.00,,actual
2025-02-08,2025-02-06,2025,BFM,Sweet Potato Covington - lb,$3.50,0,,0,$0.00,,actual
2025-02-08,2025-02-06,2025,BFM,Sweet Potato Murasaki - lb,$3.50,0,,0,$0.00,,actual
2025-02-08,2025-02-06,2025,BFM,Turnip Bulk - lb,$3.50,0,,0,$0.00,,actual
2025-02-08,2025-02-06,2025,BFM,Winter Squash Kabocha - lb,$2.50,0,,0,$0.00,,actual
2025-02-08,2025-02-06,2025,BFM,Winter Squash Koginut - lb,$3.00,0,,0,$0.00,,actual
2025-02-15,2025-02-13,2025,KFM,Bok Choy - lb,$7.00,39,0,39,$273.00,Variety: 2/3 bags,actual
2025-02-15,2025-02-13,2025,KFM,Cabbage Cone Storage - lb,$2.00,64,0,64,$128.00,,actual
2025-02-15,2025-02-13,2025,KFM,Cabbage Green Storage - lb,$2.00,69.8,19.3,50.5,$101.00,,actual
2025-02-15,2025-02-13,2025,KFM,Cabbage Red - lb,$2.00,63,2.8,60.2,$120.40,,actual
2025-02-15,2025-02-13,2025,KFM,Cabbage Savoy - lb,$2.00,43.3,0,43.3,$86.60,,actual
2025-02-15,2025-02-13,2025,KFM,Carrot Bulk - lb,$3.50,160,37.75,122.25,$427.88,,actual
2025-02-15,2025-02-13,2025,KFM,Chard - bu,$5.00,12,0,12,$60.00,,actual
2025-02-15,2025-02-13,2025,KFM,Kale Curly - bu,$7.78,9,0,9,$69.98,Variety: 2/3 bags,actual
2025-02-15,2025-02-13,2025,KFM,Kale Curly - bu,$5.00,20,0,20,$100.00,,actual
2025-02-15,2025-02-13,2025,KFM,Kale Lacinato - bu,$5.00,39,0,39,$195.00,,actual
2025-02-15,2025-02-13,2025,KFM,Kale Russian - bu,$5.00,11,0,11,$55.00,,actual
2025-02-15,2025-02-13,2025,KFM,Mustard - bu,$5.00,18,0,18,$90.00,,actual
2025-02-15,2025-02-13,2025,KFM,Parsley - bu,$4.00,24,0,24,$96.00,,actual
2025-02-15,2025-02-13,2025,KFM,Potato White - lb,$3.50,46,0,46,$161.00,,actual
2025-02-15,2025-02-13,2025,KFM,Potato Yellow - lb,$3.50,90,20,70,$245.00,,actual
2025-02-15,2025-02-13,2025,KFM,Radicchio Round - lb,$9.00,0,0,0,$0.00,,actual
2025-02-15,2025-02-13,2025,KFM,Radish Daikon Bulk - lb,$3.50,23,4.75,18.25,$63.88,,actual
2025-02-15,2025-02-13,2025,KFM,Spinach - 1/2 lb,$7.00,16,0,16,$112.00,,actual
2025-02-15,2025-02-13,2025,KFM,Sweet Potato Covington - lb,$3.50,40,4,36,$126.00,,actual
2025-02-15,2025-02-13,2025,KFM,Sweet Potato Murasaki - lb,$3.50,40,1,39,$136.50,,actual
2025-02-15,2025-02-13,2025,KFM,Turnip Bulk - lb,$3.50,34,21,13,$45.50,,actual
2025-02-15,2025-02-13,2025,KFM,Salad Mix - 1/3 lb,$7.00,32,0,32,$224.00,,actual
2025-02-15,2025-02-13,2025,KFM,Salad Mix - 2/3 lb ,$14.00,40,0,40,$560.00,,actual
2025-02-15,2025-02-13,2025,KFM,Winter Squash Kabocha - lb,$2.50,73.5,44.1,29.4,$73.38,,actual
2025-02-15,2025-02-13,2025,KFM,Winter Squash Koginut - lb,$3.00,79,15.8,63.2,$189.60,,actual
2025-02-22,2/20/2025,2025,BFM,Bok Choy - lb,$5.00,41,0,41,$205.00,Variety: bunches,actual
2025-02-22,2/20/2025,2025,BFM,Cabbage Cone Storage - lb,$2.00,53.9,9.28,44.62,$89.24,,actual
2025-02-22,2/20/2025,2025,BFM,Cabbage Green Storage - lb,$2.00,52.8,0,52.8,$105.60,,actual
2025-02-22,2/20/2025,2025,BFM,Cabbage Red - lb,$2.00,35.8,0,35.8,$71.60,,actual
2025-02-22,2/20/2025,2025,BFM,Cabbage Savoy - lb,$2.00,55,8.1,46.9,$93.80,,actual
2025-02-22,2/20/2025,2025,BFM,Carrot Bulk - lb,$3.50,146.5,12,134.5,$470.75,,actual
2025-02-22,2/20/2025,2025,BFM,Chard - bu,$5.00,12,0,12,$60.00,,actual
2025-02-22,2/20/2025,2025,BFM,Kale Curly - bu,$5.00,8,0,8,$40.00,,actual
2025-02-22,2/20/2025,2025,BFM,Kale Lacinato - bu,$5.00,12,0,12,$60.00,,actual
2025-02-22,2/20/2025,2025,BFM,Kale Russian - bu,$5.00,17,0,17,$85.00,,actual
2025-02-22,2/20/2025,2025,BFM,Mustard - bu,$5.00,15,0,15,$75.00,,actual
2025-02-22,2/20/2025,2025,BFM,Parsley - bu,$4.00,20,0,20,$80.00,,actual
2025-02-22,2/20/2025,2025,BFM,Potato Yellow - lb,$3.50,65.7,12.9,52.8,$184.80,,actual
2025-02-22,2/20/2025,2025,BFM,Radish Daikon Bulk - lb,$3.50,21,8.5,12.5,$43.75,,actual
2025-02-22,2/20/2025,2025,BFM,Spinach - 1/2 lb,$7.00,17,0,17,$119.00,,actual
2025-02-22,2/20/2025,2025,BFM,Sweet Potato Covington - lb,$3.50,33,8.3,24.7,$86.45,,actual
2025-02-22,2/20/2025,2025,BFM,Sweet Potato Murasaki - lb,$3.50,15,6.3,8.7,$30.45,,actual
2025-02-22,2/20/2025,2025,BFM,Turnip Bulk - lb,$3.50,21,5,16,$56.00,,actual
2025-02-22,2/20/2025,2025,BFM,Salad Mix - 1/3 lb,$7.00,20,0,20,$140.00,,actual
2025-02-22,2/20/2025,2025,BFM,Salad Mix - 2/3 lb ,$14.00,30,0,30,$420.00,,actual
2025-02-22,2/20/2025,2025,BFM,Winter Squash Kabocha - lb,$2.50,56.7,5.1,51.6,$128.79,,actual
2025-02-22,2/20/2025,2025,BFM,Winter Squash Koginut - lb,$3.00,49.6,9,40.6,$121.80,,actual
2025-02-22,2/20/2025,2025,BFM,Potato White - lb,$3.50,43,0,43,$150.50,,actual
2025-03-01,2/27/25,2025,KFM,Bok Choy - lb,$5.00,54,5,49,$245.00,Variety: bunches,actual
2025-03-01,2/27/25,2025,KFM,Cabbage Cone Storage - lb,$2.00,76.6,9.5,67.1,$134.20,,actual
2025-03-01,2/27/25,2025,KFM,Cabbage Green Storage - lb,$2.00,73.8,20.5,53.3,$106.60,,actual
2025-03-01,2/27/25,2025,KFM,Cabbage Red - lb,$2.00,52.3,2.3,50,$100.00,,actual
2025-03-01,2/27/25,2025,KFM,Cabbage Savoy - lb,$2.00,65.6,36.4,29.2,$58.40,,actual
2025-03-01,2/27/25,2025,KFM,Carrot Bulk - lb,$3.50,155.8,34.5,121.3,$424.55,,actual
2025-03-01,2/27/25,2025,KFM,Chard - bu,$4.50,12,0,12,$54.00,,actual
2025-03-01,2/27/25,2025,KFM,Kale Curly - bu,$4.50,0,0,0,$0.00,,actual
2025-03-01,2/27/25,2025,KFM,Kale Lacinato - bu,$4.50,0,0,0,$0.00,,actual
2025-03-01,2/27/25,2025,KFM,Kale Russian - bu,$4.50,29,0,29,$130.50,,actual
2025-03-01,2/27/25,2025,KFM,Mustard - bu,$4.50,19,0,19,$85.50,,actual
2025-03-01,2/27/25,2025,KFM,Parsley - bu,$3.50,20,0,20,$70.00,,actual
2025-03-01,2/27/25,2025,KFM,Potato White - lb,$3.50,41,1.5,39.5,$138.25,,actual
2025-03-01,2/27/25,2025,KFM,Potato Yellow - lb,$3.50,91,30,61,$213.50,,actual
2025-03-01,2/27/25,2025,KFM,Radish Daikon Bulk - lb,$3.50,27,9.1,17.9,$62.65,,actual
2025-03-01,2/27/25,2025,KFM,Salad Mix - 1/3 lb,$7.00,26,0,26,$182.00,,actual
2025-03-01,2/27/25,2025,KFM,Salad Mix - 2/3 lb ,$14.00,33,0,33,$462.00,,actual
2025-03-01,2/27/25,2025,KFM,Spinach - 1/2 lb,$7.00,17,0,17,$119.00,,actual
2025-03-01,2/27/25,2025,KFM,Sweet Potato Covington - lb,$3.50,14.5,0,14.5,$50.75,,actual
2025-03-01,2/27/25,2025,KFM,Turnip Bulk - lb,$3.50,22,10.5,11.5,$40.25,,actual
2025-03-01,2/27/25,2025,KFM,Winter Squash Kabocha - lb,$2.50,57.5,14.3,43.2,$107.83,,actual
2025-03-01,2/27/25,2025,KFM,Winter Squash Koginut - lb,$3.00,77.1,43.3,33.8,$101.40,,actual
2025-03-08,3/6/2025,2025,BFM,Bok Choy - lb,$5.00,45,1,44,$220.00,Variety: bunches,actual
2025-03-08,3/6/2025,2025,BFM,Cabbage Cone Storage - lb,$2.00,64,26,38,$76.00,,actual
2025-03-08,3/6/2025,2025,BFM,Cabbage Green Storage - lb,$2.00,53,5,48,$96.00,,actual
2025-03-08,3/6/2025,2025,BFM,Cabbage Red - lb,$2.00,40,9,31,$62.00,,actual
2025-03-08,3/6/2025,2025,BFM,Cabbage Savoy - lb,$2.00,24.5,15,9.5,$19.00,,actual
2025-03-08,3/6/2025,2025,BFM,Carrot Bulk - lb,$3.50,164,75,89,$311.50,,actual
2025-03-08,3/6/2025,2025,BFM,Chard - bu,$4.50,12,,12,$54.00,,actual
2025-03-08,3/6/2025,2025,BFM,Kale Curly - bu,$4.50,0,,0,$0.00,,actual
2025-03-08,3/6/2025,2025,BFM,Kale Lacinato - bu,$4.50,0,,0,$0.00,,actual
2025-03-08,3/6/2025,2025,BFM,Kale Russian - bu,$4.50,25,,25,$112.50,,actual
2025-03-08,3/6/2025,2025,BFM,Mustard - bu,$4.50,12,,12,$54.00,,actual
2025-03-08,3/6/2025,2025,BFM,Parsley - bu,$3.50,17,,17,$59.50,,actual
2025-03-08,3/6/2025,2025,BFM,Potato White - lb,$3.50,32,12,20,$70.00,,actual
2025-03-08,3/6/2025,2025,BFM,Potato Yellow - lb,$3.50,60,9,51,$178.50,,actual
2025-03-08,3/6/2025,2025,BFM,Radish Daikon Bulk - lb,$3.50,24,,24,$84.00,,actual
2025-03-08,3/6/2025,2025,BFM,Salad Mix - 1/3 lb,$7.00,16,,16,$112.00,,actual
2025-03-08,3/6/2025,2025,BFM,Salad Mix - 2/3 lb ,$14.00,21,,21,$294.00,,actual
2025-03-08,3/6/2025,2025,BFM,Spinach - 1/2 lb,$7.00,20,,20,$140.00,,actual
2025-03-08,3/6/2025,2025,BFM,Turnip Bulk - lb,$3.50,19,10,9,$31.50,,actual
2025-03-08,3/6/2025,2025,BFM,Winter Squash Kabocha - lb,$2.50,60,25,35,$87.36,,actual
2025-03-08,3/6/2025,2025,BFM,Winter Squash Koginut - lb,$3.00,57.5,40,17.5,$52.50,,actual
2025-03-15,3/13/2025,2025,KFM,Bok Choy - lb,$5.00,37,0,37,$185.00,Variety: bunches,actual
2025-03-15,3/13/2025,2025,KFM,Cabbage Cone Storage - lb,$2.00,146.9,62,84.9,$169.80,,actual
2025-03-15,3/13/2025,2025,KFM,Cabbage Green Storage - lb,$2.00,117.6,68,49.6,$99.20,,actual
2025-03-15,3/13/2025,2025,KFM,Cabbage Red - lb,$2.00,,,0,$0.00,,actual
2025-03-15,3/13/2025,2025,KFM,Carrot Bulk - lb,$3.50,150,48,102,$357.00,,actual
2025-03-15,3/13/2025,2025,KFM,Chard - bu,$4.50,12,0,12,$54.00,,actual
2025-03-15,3/13/2025,2025,KFM,Kale Curly - bu,$4.50,,,0,$0.00,,actual
2025-03-15,3/13/2025,2025,KFM,Kale Lacinato - bu,$5.00,22,0,22,$110.00,Variety: .6 bags,actual
2025-03-15,3/13/2025,2025,KFM,Kale Russian - bu,$4.50,25,0,25,$112.50,,actual
2025-03-15,3/13/2025,2025,KFM,Mustard - bu,$4.50,10,0,10,$45.00,,actual
