Pack Date,Planning Year,Mix Product Name,Component Crop Name,Component Percent,Component Quantity,Component Unit,Variety Request,Safety Factor,Harvest Date,Notes,Component Source Type
2023-05-20,2023,Spring Mix,Greens Mix Cheap Frills,25,11.6,,,1.05,2023-05-18,,crop
2023-05-20,2023,Spring Mix,Lettuce Mix SN,25,11.6,,,1.05,2023-05-18,,crop
2023-05-20,2023,Spring Mix,Lettuce Mix SN,50,23.2,,Red,1.05,2023-05-18,,crop
2023-05-27,2023,Spring Mix,Greens Mix Cheap Frills,50,29,,,1.05,5/25/23,,crop
2023-05-27,2023,Spring Mix,Lettuce Mix SN,30,17.4,,Red,1.05,5/25/23,,crop
2023-05-27,2023,Spring Mix,Lettuce Mix SN,20,11.6,,,1.05,5/25/23,,crop
2023-06-03,2023,Spring Mix,Greens Mix Cheap Frills,30,18.8,,,1.05,2023-06-01,,crop
2023-06-03,2023,Spring Mix,Lettuce Mix SN,40,25,,Red,1.05,2023-06-01,,crop
2023-06-03,2023,Spring Mix,Lettuce Mix SN,30,18.8,,,1.05,2023-06-01,,crop
2023-06-10,2023,Spring Mix,Greens Mix Cheap Frills,5,3.6,,,1.05,2023-06-08,,crop
2023-06-10,2023,Spring Mix,Lettuce Mix SN,20,14.3,,Red,1.05,2023-06-08,,crop
2023-06-10,2023,Spring Mix,Lettuce Mix SN,65,46.6,,,1.05,2023-06-08,,crop
2023-06-10,2023,Spring Mix,Frisee,10,7.2,,,1.05,2023-06-08,,crop
2023-06-17,2023,Spring Mix,Lettuce Mix SN,40,47.7,,,1.05,2023-06-15,,crop
2023-06-17,2023,Spring Mix,Greens Mix Cheap Frills,30,35.8,,,1.05,2023-06-15,,crop
2023-06-17,2023,Spring Mix,Greens Mix Misc,10,11.9,,Tokyo Bekana,1.05,2023-06-15,,crop
2023-06-17,2023,Spring Mix,Frisee,10,11.9,,,1.05,2023-06-15,,crop
2023-06-17,2023,Spring Mix,Radicchio Variegated,5,6,,,1.05,2023-06-15,,crop
2023-06-17,2023,Spring Mix,Greens Mix Misc,5,6,,Purslane,1.05,2023-06-15,,crop
2023-06-24,2023,Spring Mix,Lettuce Mix SN,40,40.1,,,1.05,2023-06-22,,crop
2023-06-24,2023,Spring Mix,Greens Mix Cheap Frills,20,20.1,,,1.05,2023-06-22,,crop
2023-06-24,2023,Spring Mix,Greens Mix Misc,20,20.1,,Tokyo Bekana,1.05,2023-06-22,,crop
2023-06-24,2023,Spring Mix,Frisee,10,10,,,1.05,2023-06-22,,crop
2023-06-24,2023,Spring Mix,Radicchio Variegated,5,5,,,1.05,2023-06-22,,crop
2023-06-24,2023,Spring Mix,Greens Mix Misc,5,5,,Purslane,1.05,2023-06-22,,crop
2023-07-01,2023,Spring Mix,Lettuce Mix SN,40,36.6,,Butter / incised / gem,1.05,6/29/2023,,crop
2023-07-01,2023,Spring Mix,Greens Mix Cheap Frills,20,18.3,,,1.05,6/29/2023,,crop
2023-07-01,2023,Spring Mix,Greens Mix Misc,5,4.6,,Tokyo Bekana,1.05,6/29/2023,,crop
2023-07-01,2023,Spring Mix,Frisee,10,9.2,,,1.05,6/29/2023,,crop
2023-07-01,2023,Spring Mix,Radicchio Variegated Mix,20,18.3,,,1.05,6/29/2023,,crop
2023-07-01,2023,Spring Mix,Greens Mix Misc,5,4.6,,Purslane,1.05,6/29/2023,,crop
2023-07-08,2023,Spring Mix,Lettuce Mix SN,40,37.5,,Butter / incised / gem,1.05,2023-07-06,,crop
2023-07-08,2023,Spring Mix,Greens Mix Cheap Frills,15,14,,,1.05,2023-07-06,,crop
2023-07-08,2023,Spring Mix,Greens Mix Misc,5,4.7,,Tokyo Bekana,1.05,2023-07-06,,crop
2023-07-08,2023,Spring Mix,Frisee,10,9.4,,,1.05,2023-07-06,,crop
2023-07-08,2023,Spring Mix,Radicchio Variegated Mix,15,14,,,1.05,2023-07-06,,crop
2023-07-08,2023,Spring Mix,Radicchio Variegated Mix,15,14,,Red,1.05,2023-07-06,,crop
2023-07-15,2023,Spring Mix,Lettuce Mix SN,40,36.8,,Butter / incised / gem,1.05,2023-07-13,,crop
2023-07-15,2023,Spring Mix,Greens Mix Cheap Frills,10,9.2,,,1.05,2023-07-13,,crop
2023-07-15,2023,Spring Mix,Greens Mix Misc,5,4.6,,Tokyo Bekana,1.05,2023-07-13,,crop
2023-07-15,2023,Spring Mix,Frisee,15,13.8,,,1.05,2023-07-13,,crop
2023-07-15,2023,Spring Mix,Radicchio Variegated Mix,15,13.8,,,1.05,2023-07-13,,crop
2023-07-15,2023,Spring Mix,Radicchio Variegated Mix,15,13.8,,Red,1.05,2023-07-13,,crop
2023-07-22,2023,Spring Mix,Lettuce Mix SN,40,36.6,,,1.05,2023-07-20,,crop
